Ticker,Name,Sector,Market Cap (Millions),Beta,Timeliness,5-Year Average Dividend Yield,% Above 5-Year Average Dividend Yield,Dividend Yield,P/E Ratio,5-Year Average P/E Ratio,Dividend Safety,Dividend Growth (Latest),5-Year Dividend Growth,20-Year Dividend Growth,Dividend Growth Streak (Years),Uninterrupted Dividend Streak (Years),Ex-Dividend Date,Payment Frequency,Payout Ratio,Net Debt to Capital,Net Debt to EBITDA,Years of Positive Free Cash Flow in Last 10,Recession Dividend,Recession Return,Payment Schedule
DOC,Physicians Realty Trust,Real Estate,4156,0.76,Looks reasonably valued,5.09,-7,4.73,18.9,18,45,0,0,,0,7,3/31/2021,quarterly,93,0.35,4.87,8,,,"Jan, Apr, Jul, Oct"
KO,Coca-Cola,Consumer Staples,238910.2,0.67,Looks reasonably valued,3.29,-7,3.05,24.8,23.5,80,2.4,4,8,58,58,6/14/2021,quarterly,83,0.6,2.57,10,Increased,-31,"Apr, Jul, Oct, Dec"
O,Realty Income,Real Estate,26004.1,0.67,Looks reasonably valued,4.38,-7,4.06,19.6,18.7,70,3,4,5,26,26,6/30/2021,monthly,83,0.42,5.07,10,Increased,-43,
GIS,General Mills,Consumer Staples,37903.6,0.4,Looks reasonably valued,3.57,-8,3.29,16.9,16.5,69,4.1,3,7,0,30,4/8/2021,quarterly,50,0.55,3.08,10,Increased,-12,"Feb, May, Aug, Nov"
AMCR,Amcor plc,Materials,18296.7,0.91,Looks reasonably valued,4.27,-8,3.93,15.3,15.7,50,2.2,3,1,29,29,5/25/2021,quarterly,66,0.59,3.02,10,,,"Mar, Jun, Sep, Dec"
SBSI,Southside Bancshares,Financials,1379.1,0.71,Looks reasonably valued,3.43,-8,3.15,15.2,14.7,60,3.1,8,14,21,21,5/19/2021,quarterly,38,0.51,,10,Increased,-39,"Mar, Jun, Sep, Dec"
FTS,Fortis,Utilities,21938.4,0.45,Looks reasonably valued,3.7,-8,3.39,20.3,18.4,62,5.8,7,7,25,25,5/14/2021,quarterly,75,0.55,5.5,0,Increased,,"Mar, Jun, Sep, Dec"
FHI,Federated Hermes,Financials,3078.7,1.4,Looks reasonably valued,3.63,-9,3.31,11.6,12.1,77,0,2,11,0,24,5/6/2021,quarterly,32,0,0,10,Maintained,-53,"Feb, May, Aug, Nov"
CAPL,CrossAmerica Partners,Energy,758.6,0.34,Could be overvalued,11.56,-9,10.47,7.1,7.4,50,0,-2,,0,2,5/3/2021,quarterly,81,0.89,5.08,9,,,"Feb, May, Aug, Nov"
SO,Southern Company,Utilities,68091.1,0.46,Could be overvalued,4.57,-9,4.14,19.5,17.1,65,3.1,3,3,19,32,5/14/2021,quarterly,74,0.61,5.49,4,Increased,-23,"Mar, Jun, Sep, Dec"
WPC,W. P. Carey,Real Estate,13930.8,0.82,Could be overvalued,5.99,-10,5.4,15.8,13.4,73,1,2,5,22,22,3/30/2021,quarterly,89,0.48,5.88,10,Increased,-35,"Jan, Apr, Jul, Oct"
MCY,Mercury General Corporation,Financials,3322.2,0.56,Could be overvalued,4.72,-10,4.24,16.2,17.1,45,0.4,0,5,35,35,6/15/2021,quarterly,43,0.03,0.09,10,Increased,-53,"Mar, Jun, Sep, Dec"
PM,Philip Morris International,Consumer Staples,156570.6,0.57,Could be overvalued,5.32,-10,4.78,16.2,15.9,64,2.6,3,,12,12,6/24/2021,quarterly,86,,1.93,10,Increased,,"Jan, Apr, Jul, Oct"
AGR,Avangrid,Utilities,21334.2,0.38,Could be overvalued,3.59,-10,3.22,25.3,20.8,45,0,,4,0,4,6/3/2021,quarterly,73,0.41,4.87,4,,,"Jan, Apr, Jul, Oct"
NWL,Newell Brands,Consumer Discretionary,11627.7,0.79,Could be overvalued,3.81,-11,3.39,15.7,12.6,50,0,4,0,0,10,5/27/2021,quarterly,46,0.6,3.41,10,Cut,-83,"Mar, Jun, Sep, Dec"
STOR,STORE Capital,Real Estate,9547.8,1.03,Could be overvalued,4.56,-11,4.05,18.1,15.3,70,2.9,6,,6,6,3/30/2021,quarterly,79,0.41,5.09,10,,,"Jan, Apr, Jul, Oct"
DUK,Duke Energy,Utilities,79398.8,0.34,Could be overvalued,4.23,-11,3.75,19.8,17.8,80,2.1,3,,13,13,5/13/2021,quarterly,73,0.57,5.57,2,Increased,-34,"Mar, Jun, Sep, Dec"
ORI,Old Republic International,Financials,7857.9,0.9,Could be overvalued,3.81,-12,3.37,11.1,12.1,73,4.8,3,5,39,39,6/3/2021,quarterly,34,0.13,0.44,8,Maintained,-56,"Mar, Jun, Sep, Dec"
ARCC,Ares Capital,Financials,8545.5,0.64,Could be overvalued,9.26,-12,8.18,11.4,10.2,59,0,1,,0,10,6/14/2021,quarterly,96,0.5,,3,Cut,-76,"Mar, Jun, Sep, Dec"
RYN,Rayonier,Real Estate,4811.9,0.88,Could be overvalued,3.54,-12,3.12,,,60,0,2,5,0,5,6/15/2021,quarterly,,0.41,4.41,6,Maintained,-47,"Mar, Jun, Sep, Dec"
RY,Royal Bank of Canada,Financials,148887,0.65,Could be overvalued,3.9,-13,3.4,11.8,10.5,80,0,7,11,10,26,7/23/2021,quarterly,44,0.73,,3,Maintained,-59,"Feb, May, Aug, Nov"
MDC,M.D.C. Holdings,Consumer Discretionary,3757.9,1.34,Could be overvalued,3.46,-13,3.02,6.4,9.9,41,8,12,14,5,5,5/11/2021,quarterly,22,0.26,0.85,3,Maintained,-43,"Feb, May, Aug, Nov"
KHC,Kraft Heinz,Consumer Staples,52301.8,0.64,Could be overvalued,4.34,-13,3.78,16.7,15.2,50,0,-1,1,0,1,5/27/2021,quarterly,53,0.33,3.34,7,,,"Mar, Jun, Sep, Dec"
IPG,Interpublic,Communications,13272.5,0.99,Could be overvalued,3.71,-13,3.23,15.6,13.1,41,5.9,16,5,8,9,6/4/2021,quarterly,50,0.52,1.73,10,,-64,"Mar, Jun, Sep, Dec"
NEP,NextEra Energy Partners,Utilities,5579.6,0.7,Could be overvalued,3.95,-13,3.44,22.7,18,42,15,18,,6,6,5/5/2021,quarterly,29,0.31,2.5,5,,,"Feb, May, Aug, Nov"
HE,Hawaiian Electric Industries,Utilities,4853.1,0.33,Could be overvalued,3.57,-14,3.08,24.9,19.6,78,3,1,0,2,30,5/19/2021,quarterly,64,0.55,3.22,4,Maintained,-36,"Mar, Jun, Sep, Dec"
MPW,Medical Properties Trust,Real Estate,12509.6,0.82,Could be overvalued,6.1,-14,5.27,16,13.3,70,3.7,4,,8,11,6/16/2021,quarterly,87,0.53,6.8,10,Cut,-76,"Jan, Apr, Jul, Oct"
SPG,Simon Property Group,Real Estate,43133.9,1.33,Could be overvalued,4.61,-14,3.96,14.9,14.7,50,-38,0,6,0,0,4/8/2021,quarterly,60,0.86,6.79,10,Cut,-71,"Jan, Apr, Jul, Oct"
ORCC,Owl Rock Capital,Financials,5800.6,0.53,Could be overvalued,9.7,-14,8.32,12.2,10.4,50,17,,,1,1,6/29/2021,quarterly,101,0.48,,0,,,"Jan, May, Aug, Nov"
AVGO,Broadcom,Information Technology,193126.1,1.38,Could be overvalued,3.58,-14,3.07,16.3,13.6,67,11,52,,10,10,6/21/2021,quarterly,56,0.56,1.83,10,,,"Mar, Jun, Sep, Dec"
MET,MetLife,Financials,55825.2,1.03,Could be overvalued,3.6,-15,3.05,9.6,8.6,79,4.3,4,12,8,20,5/10/2021,quarterly,27,0.58,28.68,10,Maintained,-82,"Mar, Jun, Sep, Dec"
PAA,Plains All American Pipeline,Energy,8758.5,1.36,Could be overvalued,7.06,-15,5.99,6.2,9.5,48,0,-24,-1,0,0,4/29/2021,quarterly,36,0.49,4.26,6,Increased,-28,"Feb, May, Aug, Nov"
ABR,Arbor Realty Trust,Financials,2489,1.1,Could be overvalued,8.79,-16,7.42,11.8,10.2,50,8,16,,8,8,5/20/2021,quarterly,66,0.78,,6,Cut,-96,"Mar, Jun, Aug, Nov"
BIP,Brookfield Infrastructure Partners,Utilities,16097.9,0.69,Could be overvalued,4.41,-16,3.72,,,65,5.2,7,,0,0,5/27/2021,quarterly,30,0.52,10,8,Maintained,,"Mar, Jun, Sep, Dec"
ETR,Entergy,Utilities,21924.1,0.58,Could be overvalued,4.17,-16,3.5,18.4,15.9,77,2.2,2,6,6,21,5/5/2021,quarterly,63,0.7,5.92,3,Maintained,-45,"Mar, Jun, Sep, Dec"
STWD,Starwood Property Trust,Financials,7536.2,1.08,Could be overvalued,8.71,-16,7.29,12.7,10.3,50,0,0,,0,11,3/30/2021,quarterly,99,0.73,,8,,,"Jan, Apr, Jul, Oct"
BMO,Bank of Montreal,Financials,67730.6,0.84,Could be overvalued,3.98,-17,3.32,11.2,9.6,70,0,6,7,9,25,7/30/2021,quarterly,42,0.5,,0,Maintained,-65,"Feb, May, Aug, Nov"
SBRA,Sabra Health Care,Real Estate,3882.4,1.2,Could be overvalued,8.01,-17,6.67,11.2,10.1,50,0,-3,,0,0,5/14/2021,quarterly,71,0.39,4.96,10,,-53,"Feb, May, Aug, Nov"
PAGP,Plains GP Holdings,Energy,2478.6,1.48,Could be overvalued,6.86,-17,5.68,6.9,9.7,50,0,-22,,0,0,4/29/2021,quarterly,36,0.47,4.37,6,,,"Feb, May, Aug, Nov"
CM,Canadian Imperial Bank of Commerce,Financials,53753.4,0.53,Could be overvalued,4.89,-18,4.01,10.9,8.4,65,0,6,8,10,25,6/25/2021,quarterly,47,0.77,,0,Maintained,-71,"Jan, Apr, Jul, Oct"
ILPT,Industrial Logistics Properties Trust,Real Estate,1715.5,0.91,Could be overvalued,6.11,-18,4.99,15.7,13,60,0,,,0,2,4/23/2021,quarterly,71,0.46,5.12,6,,,"Feb, May, Aug, Nov"
OPI,Office Properties Income Trust,Real Estate,1481.4,0.92,Could be overvalued,8.79,-19,7.17,11.8,10.1,50,0,-20,,0,1,4/23/2021,quarterly,42,0.55,6.01,10,,,"Feb, May, Aug, Nov"
GLPI,Gaming and Leisure Properties,Real Estate,11015.6,0.86,Could be overvalued,6.95,-19,5.65,13.8,11.3,41,3.1,3,,0,0,6/10/2021,quarterly,72,0.67,4.86,10,,,"Mar, Jun, Sep, Dec"
WES,Western Midstream Partners,Energy,9397.2,1.41,Could be overvalued,6.7,-19,5.41,6.8,5.5,50,1.3,-4,,0,0,4/29/2021,quarterly,36,0.71,3.77,3,,,"Feb, May, Aug, Nov"
MNR,Monmouth Real Estate Investment,Real Estate,1932.6,0.73,Could be overvalued,4.55,-20,3.65,23.2,17.2,61,5.9,3,1,0,27,5/14/2021,quarterly,89,0.45,5.6,10,Maintained,-31,"Mar, Jun, Sep, Dec"
EVA,Enviva Partners,Energy,2237.7,0.47,Could be overvalued,7.94,-20,6.31,12.4,9.6,50,13,21,,5,5,5/13/2021,quarterly,78,0.81,3.48,4,,,"Feb, May, Aug, Nov"
RIOCF,RioCan,Real Estate,5676,,Could be overvalued,5.67,-22,4.45,,15.9,60,-33,0,1,0,0,5/28/2021,monthly,96,0.47,9.88,10,Maintained,,
AY,Atlantica,Utilities,4082.9,0.96,Could be overvalued,5.91,-22,4.63,16.8,12.2,50,2.4,7,,4,4,5/27/2021,quarterly,44,0.74,6.03,6,,,"Mar, Jun, Sep, Dec"
IRM,Iron Mountain,Real Estate,13270.1,0.41,Could be overvalued,6.96,-22,5.44,13.2,11.4,50,0,5,,10,10,6/14/2021,quarterly,80,0.92,5.25,10,,-47,"Jan, Apr, Jul, Oct"
NTIOF,National Bank of Canada,Financials,25397.4,,Could be overvalued,4.01,-22,3.12,10.8,10.6,58,7,7,11,10,25,6/25/2021,quarterly,38,0.48,,0,Maintained,,"Feb, May, Aug, Nov"
VICI,VICI Properties,Real Estate,17523.7,0.93,Could be overvalued,5.18,-22,4.02,17.6,13.9,50,11,,,2,2,6/23/2021,quarterly,74,0.42,4.96,4,,,"Jan, Apr, Jul, Oct"
EPRT,Essential Properties Realty Trust,Real Estate,3360.8,1.13,Could be overvalued,4.49,-22,3.49,22.2,17.1,60,4.2,,,2,2,6/29/2021,quarterly,84,0.36,4.84,4,,,"Jan, Apr, Jul, Oct"
HTGC,Hercules Capital,Financials,2000.9,0.75,Could be overvalued,9.54,-23,7.34,13.1,10.1,45,0,1,,0,10,5/11/2021,quarterly,96,0.47,5.23,2,Cut,-60,"Mar, May, Aug, Nov"
GAIN,Gladstone Investment Corporation,Financials,475.8,0.56,Could be overvalued,7.73,-24,5.86,18.3,14.3,41,0,2,,4,11,6/17/2021,monthly,156,0.39,,4,Cut,-76,
SRC,Spirit Realty,Real Estate,5701.7,1.03,Could be overvalued,6.67,-24,5.05,15.9,12,50,0,-6,,0,1,6/29/2021,quarterly,85,0.43,5.33,10,,,"Jan, Apr, Jul, Oct"
ETRN,Equitrans Midstream,Energy,4160.6,0.64,Could be overvalued,8.34,-24,6.3,4.6,4.9,50,0,,,0,0,5/4/2021,quarterly,32,0.62,6.18,3,,,"Feb, May, Aug, Nov"
DOW,Dow,Materials,50212.6,1.08,Could be overvalued,5.67,-25,4.26,10.5,14.2,45,33,11,,1,1,5/27/2021,quarterly,116,0.62,2.12,3,,,"Mar, Jun, Sep, Dec"
STAG,STAG Industrial,Real Estate,6170.4,0.83,Could be overvalued,5.09,-27,3.73,21.5,15.8,45,0.7,1,,9,9,6/29/2021,monthly,79,0.41,4.5,8,,,
D,Dominion Energy,Utilities,63029.9,0.32,Could be overvalued,4.44,-27,3.25,19.9,19,80,-33,6,5,0,0,6/3/2021,quarterly,83,0.59,4.82,1,Increased,-35,"Mar, Jun, Sep, Dec"
NSA,National Storage,Real Estate,3803.4,0.63,Could be overvalued,4.19,-27,3.04,25.4,20.1,60,8.6,20,,5,5,6/14/2021,quarterly,82,0.56,5.65,6,,,"Mar, Jun, Sep, Dec"
SJR,Shaw Communications,Communications,14730.2,0.73,Could be overvalued,4.51,-29,3.19,25.3,17.4,60,0,1,22,0,24,6/14/2021,monthly,82,0.5,2.3,8,Increased,-45,
LMRK,Landmark Infrastructure Partners,Real Estate,336.7,0.36,Could be overvalued,8.71,-30,6.06,10.7,11,50,0,-9,,0,0,5/3/2021,quarterly,58,0.57,7.06,7,,,"Feb, May, Aug, Nov"
ET,Energy Transfer,Energy,30345.3,1.03,Could be overvalued,7.84,-30,5.45,4.6,6.7,50,-50,-3,,0,0,5/10/2021,quarterly,25,0.58,4.22,2,Increased,-44,"Feb, May, Aug, Nov"
PEAK,Healthpeak Properties,Real Estate,18738.7,0.94,Could be overvalued,5.06,-32,3.44,25,18.4,41,-19,-8,0,0,0,5/7/2021,quarterly,101,0.45,5.63,10,Increased,-48,"Mar, May, Aug, Nov"
HEP,Holly Energy Partners,Energy,2436.7,0.74,Could be overvalued,8.86,-32,5.99,8.2,10.8,41,-48,-9,,0,0,4/30/2021,quarterly,52,0.71,4.01,8,Increased,-47,"Feb, May, Aug, Nov"
NAVI,Navient Corporation,Financials,3529.2,1.36,Could be overvalued,4.81,-33,3.23,6.1,6.4,41,0,0,5,0,9,6/3/2021,quarterly,14,0.97,,10,,,"Mar, Jun, Sep, Dec"
CHCT,Community Healthcare,Real Estate,1166.7,0.87,Could be overvalued,5.24,-35,3.41,21.3,17.9,70,2,14,,5,5,5/13/2021,quarterly,78,0.37,3.78,6,,,"Mar, May, Aug, Nov"
SKT,Tanger Factory Outlet Centers,Real Estate,1863.9,0.65,Could be overvalued,5.86,-35,3.79,16.7,11.5,50,-50,-21,-3,0,0,4/29/2021,quarterly,12,0.75,6.74,10,Increased,-36,"Feb, May"
BRX,Brixmor Property Group,Real Estate,6999.3,1.18,Could be overvalued,5.65,-35,3.65,17.2,12.2,50,-25,-11,,0,0,7/2/2021,quarterly,33,0.65,6.84,10,,,"Jan, Apr, Jul"
GMRE,Global Medical REIT,Real Estate,955.1,0.89,Could be overvalued,8.11,-36,5.22,15.8,13.3,50,2.5,-5,,0,4,6/23/2021,quarterly,88,0.45,5.39,5,,,"Jan, Apr, Jul, Oct"
CIO,City Office REIT,Real Estate,551.6,0.87,Could be overvalued,7.38,-36,4.71,14.8,13.4,50,0,-9,,0,0,4/8/2021,quarterly,76,0.55,6.31,8,,,"Jan, Apr, Jul, Oct"
VTR,Ventas,Real Estate,21941.2,1.05,Could be overvalued,4.9,-37,3.06,23.5,17.4,60,0,-7,4,0,0,6/30/2021,quarterly,58,0.53,7.27,10,Maintained,-47,"Jan, Apr, Jul, Oct"
ATGFF,AltaGas Ltd.,Utilities,5838.6,,Could be overvalued,6.33,-38,3.94,,18.7,50,4.1,-13,,1,1,6/24/2021,monthly,50,0.52,5.31,0,,,
APO,Apollo Global Management,Financials,13481.5,1.13,Could be overvalued,5.86,-38,3.61,19.5,13.6,45,-14,8,,0,0,5/19/2021,quarterly,91,0.57,5.21,8,,,"Feb, May, Aug, Nov"
UNIT,Uniti,Real Estate,2549.3,0.94,Could be overvalued,9.1,-40,5.5,6.7,6.7,50,0,-25,,1,1,6/17/2021,quarterly,36,,5.65,4,,,"Jan, Apr, Jul, Oct"
VER,VEREIT,Real Estate,11048.6,1.12,Could be overvalued,6.4,-40,3.83,14.7,11.7,70,20,6,,0,0,6/29/2021,quarterly,53,0.45,5.37,8,,,"Jan, Apr, Jul, Oct"
RDS.B,Royal Dutch Shell plc,Energy,160158.6,1,Could be overvalued,5.89,-41,3.48,9.8,13.6,45,4.2,-19,-4,0,0,5/13/2021,quarterly,99,0.38,1.72,9,Maintained,-42,"Mar, Jun, Sep, Dec"
KIM,Kimco Realty,Real Estate,9263,1.15,Could be overvalued,5.67,-44,3.18,22.7,15.8,60,6.3,-11,-3,0,0,6/8/2021,quarterly,38,0.47,6.75,10,Cut,-82,"Mar, Jun, Sep, Dec"
BEP,Brookfield Renewable Partners,Utilities,18669.9,0.88,Could be overvalued,5.73,-46,3.1,27.9,25.7,50,5,1,0,2,2,5/27/2021,quarterly,56,0.46,9.68,9,,-42,"Mar, Jun, Sep, Dec"
LXP,Lexington Realty Trust,Real Estate,3764.3,0.84,Could be overvalued,6.43,-48,3.34,19.1,13.8,41,2.4,-9,-5,1,1,3/30/2021,quarterly,58,0.38,4.96,10,Cut,-87,"Jan, Apr, Jul, Oct"
PLYM,Plymouth Industrial REIT,Real Estate,584,0.88,Could be overvalued,8.21,-48,4.23,13.2,11,50,5,,,0,0,6/29/2021,quarterly,52,0.58,6.23,5,,,"Jan, Apr, Jul, Oct"
AM,Antero Midstream,Energy,4921.6,0.7,Could be overvalued,17.04,-50,8.6,8,5.2,50,-27,,,0,0,4/27/2021,quarterly,83,0.57,3.61,4,,,"Feb, May, Aug, Nov"
KRG,Kite Realty Group,Real Estate,1943.2,1.12,Could be overvalued,6.6,-52,3.14,20.6,11.1,50,5.9,-11,,0,0,7/8/2021,quarterly,36,0.47,6.81,6,Cut,-86,"Jan, Apr, Jul, Oct"
